"Step","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_h","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_h__MIN","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_h__MAX"
"603","0.999484121799469","0.999484121799469","0.999484121799469"
"618","0.999506950378418","0.999506950378418","0.999506950378418"
"633","0.9994581341743469","0.9994581341743469","0.9994581341743469"
"648","0.9994259476661682","0.9994259476661682","0.9994259476661682"
"663","0.9994829297065735","0.9994829297065735","0.9994829297065735"
"678","0.9994282722473145","0.9994282722473145","0.9994282722473145"
"693","0.9994563460350037","0.9994563460350037","0.9994563460350037"
"708","0.9993951320648193","0.9993951320648193","0.9993951320648193"
"723","0.9994239211082458","0.9994239211082458","0.9994239211082458"
"738","0.9993789792060852","0.9993789792060852","0.9993789792060852"
"753","0.9994354248046875","0.9994354248046875","0.9994354248046875"
"768","0.9993916153907776","0.9993916153907776","0.9993916153907776"
"783","0.9994237422943115","0.9994237422943115","0.9994237422943115"
"798","0.9993650317192078","0.9993650317192078","0.9993650317192078"
"813","0.9993610978126526","0.9993610978126526","0.9993610978126526"
"828","0.9993752837181091","0.9993752837181091","0.9993752837181091"
"843","0.9993734359741211","0.9993734359741211","0.9993734359741211"
"858","0.9993751645088196","0.9993751645088196","0.9993751645088196"
"873","0.9993645548820496","0.9993645548820496","0.9993645548820496"
"888","0.9993656277656555","0.9993656277656555","0.9993656277656555"
"903","0.9993249773979187","0.9993249773979187","0.9993249773979187"
"918","0.9993112087249756","0.9993112087249756","0.9993112087249756"
"933","0.9993217587471008","0.9993217587471008","0.9993217587471008"
"948","0.9992864727973938","0.9992864727973938","0.9992864727973938"
"963","0.9992859363555908","0.9992859363555908","0.9992859363555908"
"978","0.9992387294769287","0.9992387294769287","0.9992387294769287"
"993","0.9992942810058594","0.9992942810058594","0.9992942810058594"
"1008","0.9992138743400574","0.9992138743400574","0.9992138743400574"
"1023","0.999215304851532","0.999215304851532","0.999215304851532"
"1038","0.9991738200187683","0.9991738200187683","0.9991738200187683"
"1053","0.9991357326507568","0.9991357326507568","0.9991357326507568"
"1068","0.9991522431373596","0.9991522431373596","0.9991522431373596"
"1083","0.999211311340332","0.999211311340332","0.999211311340332"
"1098","0.9991011619567871","0.9991011619567871","0.9991011619567871"
"1113","0.9991026520729065","0.9991026520729065","0.9991026520729065"
"1128","0.9991005063056946","0.9991005063056946","0.9991005063056946"
"1143","0.9990575909614563","0.9990575909614563","0.9990575909614563"
"1158","0.9990476965904236","0.9990476965904236","0.9990476965904236"
"1173","0.9990119934082031","0.9990119934082031","0.9990119934082031"
"1188","0.9990087151527405","0.9990087151527405","0.9990087151527405"
"1203","0.9990044236183167","0.9990044236183167","0.9990044236183167"
"1218","0.9989578127861023","0.9989578127861023","0.9989578127861023"
"1233","0.9989905953407288","0.9989905953407288","0.9989905953407288"
"1248","0.9989823698997498","0.9989823698997498","0.9989823698997498"
"1263","0.9989917278289795","0.9989917278289795","0.9989917278289795"
"1278","0.9989185929298401","0.9989185929298401","0.9989185929298401"
"1293","0.9988593459129333","0.9988593459129333","0.9988593459129333"
"1308","0.9989120960235596","0.9989120960235596","0.9989120960235596"
"1323","0.9988721013069153","0.9988721013069153","0.9988721013069153"
"1338","0.9988716244697571","0.9988716244697571","0.9988716244697571"
"1353","0.9988927841186523","0.9988927841186523","0.9988927841186523"
"1368","0.9987048506736755","0.9987048506736755","0.9987048506736755"
"1383","0.9986596703529358","0.9986596703529358","0.9986596703529358"
"1398","0.998740017414093","0.998740017414093","0.998740017414093"
"1413","0.9987873435020447","0.9987873435020447","0.9987873435020447"
"1428","0.9986502528190613","0.9986502528190613","0.9986502528190613"
"1443","0.9987441897392273","0.9987441897392273","0.9987441897392273"
"1458","0.9986550807952881","0.9986550807952881","0.9986550807952881"
"1473","0.9986310005187988","0.9986310005187988","0.9986310005187988"
"1488","0.9986183643341064","0.9986183643341064","0.9986183643341064"
"1503","0.9985606074333191","0.9985606074333191","0.9985606074333191"
"1518","0.9986212849617004","0.9986212849617004","0.9986212849617004"
"1533","0.9985518455505371","0.9985518455505371","0.9985518455505371"
"1548","0.998547375202179","0.998547375202179","0.998547375202179"
"1563","0.9982540011405945","0.9982540011405945","0.9982540011405945"
"1578","0.9985504746437073","0.9985504746437073","0.9985504746437073"
"1593","0.9985184669494629","0.9985184669494629","0.9985184669494629"
"1608","0.9983415603637695","0.9983415603637695","0.9983415603637695"
"1623","0.9984455108642578","0.9984455108642578","0.9984455108642578"
"1638","0.9983053803443909","0.9983053803443909","0.9983053803443909"
"1653","0.9982338547706604","0.9982338547706604","0.9982338547706604"
"1668","0.9982738494873047","0.9982738494873047","0.9982738494873047"
"1683","0.998259961605072","0.998259961605072","0.998259961605072"
"1698","0.9982542991638184","0.9982542991638184","0.9982542991638184"
"1713","0.9981689453125","0.9981689453125","0.9981689453125"
"1728","0.9981053471565247","0.9981053471565247","0.9981053471565247"
"1743","0.998055636882782","0.998055636882782","0.998055636882782"
"1758","0.9980767369270325","0.9980767369270325","0.9980767369270325"
"1773","0.9980521202087402","0.9980521202087402","0.9980521202087402"
"1788","0.9981157183647156","0.9981157183647156","0.9981157183647156"
"1803","0.9981634616851807","0.9981634616851807","0.9981634616851807"
"1818","0.9980193972587585","0.9980193972587585","0.9980193972587585"
"1833","0.9980589747428894","0.9980589747428894","0.9980589747428894"
"1850","0.9980318546295166","0.9980318546295166","0.9980318546295166"
"1867","0.9979844689369202","0.9979844689369202","0.9979844689369202"
"1884","0.9979074597358704","0.9979074597358704","0.9979074597358704"
"1901","0.9978477954864502","0.9978477954864502","0.9978477954864502"
"1918","0.9978967308998108","0.9978967308998108","0.9978967308998108"
"1935","0.9978548884391785","0.9978548884391785","0.9978548884391785"
"1952","0.9977714419364929","0.9977714419364929","0.9977714419364929"
"1969","0.9978429675102234","0.9978429675102234","0.9978429675102234"
"1986","0.9976767897605896","0.9976767897605896","0.9976767897605896"
"2003","0.997800350189209","0.997800350189209","0.997800350189209"
"2020","0.9977942109107971","0.9977942109107971","0.9977942109107971"
"2037","0.9978435635566711","0.9978435635566711","0.9978435635566711"
"2054","0.9975454211235046","0.9975454211235046","0.9975454211235046"
